"Y","bonf","permutation_threshold","hits_bonf","hits_perm","shapiro.test"
"Y618",1.77863658257036e-08,2.95013844443266e-08,721,807,5.40928166174112e-08
"Y619",1.77863658257036e-08,1.71376146981662e-08,877,873,1.70366744928889e-08
"Y62",1.83884373505939e-08,3.90285842296485e-10,1,0,1.08797603744598e-22
"Y620",1.77863658257036e-08,4.18677717131440e-09,1508,977,5.63263415474392e-10
"Y621",1.77864101154872e-08,2.26580855139918e-08,823,877,7.0892818021727e-07
"Y622",1.77863658257036e-08,6.81757981889057e-08,218,450,0.00019883589588972
"Y623",1.77863658257036e-08,2.92688599972158e-08,374,415,9.1298388839787e-05
"Y624",1.77863658257036e-08,4.28476032992735e-08,429,498,2.37256701992237e-07
"Y625",1.77863658257036e-08,1.23788400613022e-08,81,77,2.3499024280263e-09
"Y626",1.77863658257036e-08,9.68421853763917e-08,54,108,1.15187715136887e-08
"Y627",1.77863658257036e-08,1.33798988126498e-07,79,228,1.47722107966524e-06
"Y628",1.77870997991481e-08,1.99252698974895e-11,2767,485,3.79932608224481e-22
"Y629",1.77863911341243e-08,2.35826428404902e-08,39,65,3.53323339566583e-09
"Y63",1.84012412741314e-08,1.89575318664999e-07,0,0,0.0561148858439091
"Y630",1.77863658257036e-08,2.76916274817271e-10,2109,937,2.44314787761303e-17
"Y631",1.77879414122131e-08,4.6554023448347e-12,1622,185,4.51395234445774e-23
"Y632",1.77871947139303e-08,7.0297099287355e-11,2946,1011,7.47651742799025e-22
"Y633",1.77886565295043e-08,3.05139334288876e-10,1978,739,2.67435976566724e-16
"Y634",1.77863658257036e-08,3.80077692579121e-08,346,435,0.000106903214673571
"Y635",1.77863658257036e-08,2.69250525911407e-08,342,417,1.63040288814137e-07
"Y636",1.77863658257036e-08,2.57384513398107e-10,557,195,5.95043452766594e-11
"Y637",1.77863658257036e-08,5.81795351309385e-09,498,338,2.38181344269592e-12
"Y638",1.77863658257036e-08,8.04773947213536e-09,264,168,4.6908349013121e-12
"Y639",1.77863658257036e-08,1.39529228736716e-08,173,160,1.880555694884e-09
"Y64",1.95920849544151e-08,1.6176740741213e-07,0,0,0.0493125644605403
"Y640",1.80623178866799e-08,8.61184961035e-08,0,0,0.196828787016835
"Y641",1.80623178866799e-08,7.06065239384566e-08,0,0,0.443436842701842
"Y642",1.80623178866799e-08,1.53284192233999e-07,0,0,0.801476607977848
"Y643",1.80623178866799e-08,1.03989420438683e-07,0,0,0.00748542994927561
"Y644",1.80623178866799e-08,4.22361009077604e-08,0,0,4.18205640592174e-08
"Y645",1.80623178866799e-08,2.5997902116678e-07,0,0,0.0536654617680849
"Y646",1.80623178866799e-08,5.70908843252529e-13,153,74,8.05762141167721e-10
"Y647",1.80623178866799e-08,1.00572803100206e-20,1302,0,1.21406907073221e-17
"Y648",1.80623178866799e-08,2.27455844297338e-09,0,0,3.25209352816134e-10
"Y649",1.80623178866799e-08,7.42154646770795e-11,1,0,2.27104275747666e-07
"Y65",1.95920849544151e-08,1.32383273990634e-07,0,0,0.169255132275955
"Y650",1.80623178866799e-08,7.73471786023693e-09,4,4,0.000184114771132728
"Y651",1.80623178866799e-08,5.81023058130111e-11,2,0,1.28885041263216e-13
"Y652",1.80623178866799e-08,1.2178054918197e-07,0,4,0.674902206501814
"Y653",1.80623178866799e-08,9.62443503119154e-08,0,0,0.242776513137512
"Y654",1.80623178866799e-08,1.01999441846169e-10,7,0,5.86384135190259e-10
"Y655",1.80623178866799e-08,7.40345942414771e-28,687,0,2.95876841606816e-23
"Y656",1.80634402472235e-08,1.35205867960969e-07,0,1,0.0162321942613945
"Y657",1.80634402472235e-08,6.47023077436487e-12,144,2,1.74323703618629e-09
"Y658",1.80634402472235e-08,5.70174590339229e-12,19,0,2.42604842901851e-09
"Y659",1.80623178866799e-08,1.75667483857095e-10,0,0,1.31542875638744e-08
"Y66",1.97917668624864e-08,8.27485932152276e-08,0,0,1.28680820265356e-13
"Y660",1.80623178866799e-08,3.93213581004844e-09,0,0,0.01088813351501
"Y661",1.80623178866799e-08,4.14833044631821e-09,0,0,0.00631908582756148
"Y662",1.80623178866799e-08,1.2417385229697e-08,0,0,0.00896830043008148
"Y663",1.80623178866799e-08,6.31869848356716e-09,0,0,0.00421729702278991
"Y664",1.80623178866799e-08,5.04696952844022e-14,40,0,1.69053747365632e-13
"Y665",1.80623178866799e-08,1.73269463561763e-07,0,0,0.786763274000448
"Y666",1.80623178866799e-08,7.91616039217951e-09,1,0,5.62365853945785e-06
"Y667",1.80623178866799e-08,0,14229,0,1.46548296936935e-37
"Y668",1.80623178866799e-08,3.2413426745677e-11,1,0,2.68025825608823e-11
"Y669",1.80623178866799e-08,5.60227941384204e-15,214,0,6.90144980405196e-14
"Y67",1.95920849544151e-08,4.02321350518818e-08,3,5,0.00613207705239096
"Y670",1.80623178866799e-08,3.77204484768088e-08,0,0,0.227193063024471
"Y671",1.80623178866799e-08,1.79702328016049e-19,1097,0,4.45918444796306e-24
"Y672",1.80623178866799e-08,4.37502706289748e-08,0,0,0.176418718920076
"Y673",1.80623178866799e-08,1.67157907088554e-07,0,0,1.07662576049853e-05
"Y674",1.80623178866799e-08,2.10342333067444e-09,0,0,1.24590530435163e-08
"Y675",1.80623178866799e-08,1.19601394602636e-24,795,0,3.20270965906647e-24
"Y676",1.80634402472235e-08,1.91495755403011e-07,0,0,0.432338329279374
"Y677",1.80634402472235e-08,1.25420417965417e-10,1,0,7.52943266750819e-05
"Y678",1.80634402472235e-08,9.9450795799493e-14,18,0,2.11852732642895e-13
"Y679",1.80623178866799e-08,1.04627405583792e-09,0,0,7.45693174382245e-08
"Y68",1.96021008747634e-08,1.48395388080683e-07,3,184,1.08568099383586e-06
"Y680",1.80623178866799e-08,9.31066945125359e-08,0,0,0.231541711923049
"Y681",1.80623178866799e-08,1.89107416379055e-07,0,0,0.502169082007852
"Y682",1.80623178866799e-08,1.62648933335217e-07,0,0,0.501937309016532
"Y683",1.80623178866799e-08,5.09491450888561e-11,1,0,1.26058461936414e-06
"Y684",1.80623178866799e-08,1.29379096130048e-27,799,0,2.2282434043963e-21
"Y685",1.80623178866799e-08,1.65787171862778e-08,0,0,0.00551906217956308
"Y686",1.80623178866799e-08,6.64494227770348e-08,0,0,0.748787103154855
"Y687",1.80623178866799e-08,2.32307162865686e-13,75,0,1.33889815853485e-09
"Y688",1.80623178866799e-08,6.98276408639938e-15,331,0,1.65340454422962e-16
"Y689",1.80623178866799e-08,5.38037349677278e-45,1840,1,4.36030830341434e-24
"Y69",1.85510102694683e-08,7.80928142817686e-12,37,0,1.00934314050611e-07
"Y690",1.80623178866799e-08,3.320273523278e-09,0,0,0.000586988862454393
"Y691",1.80623178866799e-08,1.17338292723108e-12,113,0,1.53868427403091e-14
"Y692",1.80623178866799e-08,1.06800941270414e-07,0,0,0.331413789130174
"Y693",1.80623178866799e-08,4.65504676961461e-08,0,0,0.00123819310222946
"Y694",1.80623178866799e-08,1.50313785987883e-19,517,0,9.24034317825529e-18
"Y695",1.80623178866799e-08,4.88061836164047e-52,4663,88,7.23603845582394e-29
"Y696",1.80634402472235e-08,1.57238932497366e-07,0,0,0.619952386530672
"Y697",1.80634402472235e-08,2.29640652551929e-09,0,0,1.31286223720915e-05
"Y698",1.80634402472235e-08,1.10116468530196e-27,807,1,3.70267242589971e-20
"Y699",1.78942350500824e-08,2.04525969865657e-07,178,249,1.09686541686558e-15
"Y7",1.96949023290404e-08,5.57144018501204e-10,1,0,8.24091275974983e-16
"Y70",1.84012412741314e-08,1.60950944835771e-08,0,0,0.0653537166726203
"Y700",1.775839350469e-08,4.73205016632423e-10,0,0,6.41644848073954e-13
"Y701",1.77565519901188e-08,1.83193599210286e-08,17,17,3.27703124075181e-17
"Y702",1.77565582960238e-08,3.96256717706404e-08,10,19,5.96541539741269e-16
"Y703",1.77565519901188e-08,5.54093686579943e-08,7,19,4.84903635001866e-16
"Y704",1.77568609847316e-08,5.32799683626959e-08,11,22,1.70044470037814e-07
"Y705",1.77565709078473e-08,2.91848781510453e-10,21,0,1.84258674724269e-18
"Y706",1.7758399811903e-08,2.61637056506649e-08,0,0,8.98709935572602e-11
"Y707",1.77584754988089e-08,8.91202157169546e-08,0,0,0.000487388052654197
"Y71",1.9587878863856e-08,2.36916932584011e-09,0,0,1.97067944449986e-05
"Y717",1.83221458310889e-08,7.41254013608286e-08,0,0,0.02162679639141
"Y718",1.83221458310889e-08,3.80404080874112e-08,0,0,0.0487751750743809
"Y719",1.83221458310889e-08,2.00365648583181e-07,0,0,0.106725393280974
"Y72",1.90899004499871e-08,3.19509414879903e-10,0,0,2.94967087837301e-07
"Y720",1.83221458310889e-08,7.03192391466329e-08,0,0,0.28403984317988
"Y721",1.83221458310889e-08,1.38213951370948e-07,0,0,0.762750082440851
"Y722",1.83221458310889e-08,8.3920148548865e-09,0,0,6.81534071740612e-05
"Y723",1.83221458310889e-08,1.90209881000555e-30,1810,0,4.31306933447234e-21
"Y724",1.83221458310889e-08,1.44629668438241e-27,2906,0,7.37122142573911e-21
"Y725",1.83221458310889e-08,1.34451152305099e-26,1452,0,5.63113003852351e-20
"Y726",1.83221458310889e-08,1.30273860051113e-20,809,0,2.47969456834075e-17
"Y727",1.83221458310889e-08,4.22304748871507e-35,3276,0,2.05035957195429e-22
"Y728",1.83221458310889e-08,1.55277222305637e-18,967,0,2.40306182616074e-14
"Y729",1.83221458310889e-08,9.0769879795172e-16,648,0,3.05307315843355e-11
"Y73",1.95920849544151e-08,3.18948797570122e-11,2337,71,9.39785875950361e-07
"Y730",1.83303271596791e-08,3.56027558320924e-09,0,0,0.00113110764768566
"Y731",1.83231664190596e-08,5.39355278225704e-08,0,0,0.345792594368923
"Y732",1.83221458310889e-08,1.28376238572426e-07,0,0,0.951430177928741
"Y733",1.83329416194807e-08,9.09122049931975e-10,5,0,0.000566809089532482
"Y734",1.83221458310889e-08,5.52037016495641e-08,0,0,0.478756182249793
"Y735",1.83221458310889e-08,9.94109359629895e-08,0,0,0.00831979834740423
"Y736",1.84315353247747e-08,2.61991372243419e-08,0,0,0.00595797290248473
"Y737",1.83221458310889e-08,1.09276240258303e-07,0,0,0.732218126531685
"Y738",1.83221458310889e-08,9.97172003725037e-08,0,0,0.918062679748233
"Y739",1.83742399036308e-08,1.42484555428574e-09,4,0,2.23555887036091e-06
"Y74",1.98599082075043e-08,5.50879628357645e-07,0,0,1.98984390940648e-13
"Y740",1.83221458310889e-08,3.6723091745002e-07,0,0,0.19398303184901
"Y741",1.83221458310889e-08,2.62568316302836e-08,0,0,0.00566690005163919
"Y742",1.83281501324759e-08,6.47597568303745e-08,0,0,0.0398277638555284
"Y743",1.83221458310889e-08,2.45297972419794e-07,0,0,0.490408821171878
"Y744",1.83221458310889e-08,2.90549695036779e-07,0,6,0.0399124939951364
"Y745",1.84768088333928e-08,4.35384863394423e-08,0,0,0.000908549082482194
"Y746",1.83221458310889e-08,2.892132796932e-08,34,35,0.00611452367539521
"Y747",1.83262960356556e-08,8.96580046769823e-08,0,0,0.0812279650472208
"Y748",1.8267622867118e-08,1.29524457534936e-07,0,0,0.569517682537465
"Y749",1.83989525844273e-08,2.53621010637903e-07,0,0,0.00459660539178603
"Y75",1.83884373505939e-08,2.02462940081949e-07,0,0,6.44007464097592e-20
"Y750",1.8267622867118e-08,2.31354304038156e-08,0,0,0.0190671605023942
"Y751",1.83989525844273e-08,9.86042941944037e-10,201,170,9.51424571237525e-07
"Y752",1.83133144388764e-08,8.31179729780308e-08,9,28,0.187244236620256
"Y753",1.83989525844273e-08,4.68491246349024e-08,3,4,0.0839070700266137
"Y754",1.83096461441167e-08,1.12641916682777e-08,0,0,0.00140529954163642
"Y755",1.83019655945009e-08,1.02865982568412e-07,0,1,0.288943523092112
"Y756",1.83016440366838e-08,9.88080406506215e-08,0,0,0.645960119955449
"Y757",1.83016440366838e-08,1.55153039951981e-07,0,0,0.818460108043849
"Y758",1.83016440366838e-08,5.161943420036e-08,0,0,0.15610718905551
"Y759",1.83016440366838e-08,1.97263237899154e-07,5,10,0.790419546624427
"Y76",1.95920849544151e-08,3.18867035546074e-07,0,0,0.697378204394923
"Y760",1.83016440366838e-08,1.14678821353365e-07,9,10,0.863849585838132
"Y761",1.84538480332996e-08,1.70778049609434e-08,0,0,0.000863991894418016
"Y762",1.83054297565744e-08,2.63033701955639e-08,11,35,0.0222935191091452
"Y763",1.83052153022813e-08,9.39033058624222e-08,0,0,0.287527329998613
"Y764",1.83016440366838e-08,2.5895788572721e-12,865,566,6.09449689455166e-09
"Y765",1.83066696689605e-08,1.29410001888705e-07,0,0,0.36918930873558
"Y766",1.83016440366838e-08,1.13580793625105e-08,0,0,0.0640400780531821
"Y767",1.83016440366838e-08,1.25472909079304e-08,0,0,0.00466405198889753
"Y768",1.80237466466819e-08,7.35246426416005e-08,3,24,0.00157935638701464
"Y77",1.9587878863856e-08,8.07950839992708e-11,49,0,1.4784147411027e-06
"Y78",1.95518864051041e-08,3.30280712907966e-09,90,42,3.16039194980308e-16
"Y79",1.95518864051041e-08,1.96106487376154e-09,0,0,2.30005831716097e-05
"Y8",1.83894044664921e-08,4.975531474059e-09,2,2,3.97739429149242e-22
"Y80",2.01058452115316e-08,4.280951924132e-07,0,1,1.82344828916789e-12
"Y81",1.95920849544151e-08,4.21353469824998e-08,0,0,0.00738792401119697
"Y82",1.9058211783235e-08,7.13165849116187e-10,11,2,1.23628357815673e-13
"Y83",1.84012412741314e-08,2.30664381696164e-13,113,0,3.97745756292352e-14
"Y84",1.84012412741314e-08,4.5978251898582e-10,0,0,1.54324773161367e-08
"Y85",1.83884373505939e-08,4.61025219856952e-12,13,0,1.39095977515986e-11
"Y86",1.83867603557912e-08,2.25225056451189e-12,600,3,9.51016642317634e-08
"Y87",1.83894044664921e-08,9.30300644989696e-18,257,0,1.25592925707835e-13
"Y88",1.97527040464204e-08,1.33790333394636e-07,44,65,7.58013952899541e-14
"Y89",1.84425284706533e-08,1.89899068427361e-09,287,121,6.02843982559712e-18
"Y9",1.83884373505939e-08,1.62670934470457e-07,0,0,2.31102231630229e-19
"Y90",1.93116553564738e-08,4.28836542087144e-07,0,0,0.618924472232357
"Y91",1.95920849544151e-08,2.36901111334354e-07,0,0,0.254009237786273
"Y92",1.83934566381617e-08,1.94268863526329e-07,0,1,2.36769320270417e-10
"Y93",1.95518864051041e-08,1.04593149278995e-07,0,0,0.00940394923575706
"Y94",1.99921310972001e-08,1.34087730207125e-09,29,1,1.15049733758083e-06
"Y95",1.95920849544151e-08,4.25171047640819e-08,0,0,0.00716254183997464
"Y96",1.95518864051041e-08,3.16305299085985e-09,0,0,4.92713927713176e-06
"Y97",1.97227922109171e-08,7.03480936644634e-07,195,212,1.32843444823644e-13
"Y98",1.95920849544151e-08,2.32125579220692e-07,0,0,0.545334236293185
"Y99",1.84943662461541e-08,7.07418509180341e-18,628,0,1.21890732404905e-13
