"Y","bonf","permutation_threshold","hits_bonf","hits_perm","shapiro.test"
"Y47",1.84720783452564e-08,1.21309589087619e-07,10,184,2.56425971134992e-15
"Y48",1.84889977521077e-08,6.16552488386265e-14,113,0,1.53013981534715e-12
"Y49",1.84410728426066e-08,1.03523758705365e-10,450,89,2.21445323605849e-17
"Y5",1.95920849544151e-08,1.50736100752448e-13,48,4,6.29918458093548e-10
"Y50",1.91063282451907e-08,2.90414452360009e-13,292,0,9.4817810541975e-11
"Y51",1.95920849544151e-08,3.61569938834901e-07,0,0,0.284105274662659
"Y518",1.77738596291662e-08,3.14112350869443e-08,0,0,0.257207912736279
"Y519",1.77738596291662e-08,8.28570355185317e-08,0,0,0.620332270148796
"Y52",1.87810991525592e-08,5.04955389577717e-10,1,0,3.59781789509052e-11
"Y520",1.77738596291662e-08,1.13970139030409e-16,33,0,9.04719380662054e-23
"Y521",1.77738596291662e-08,3.80563042035732e-19,190,0,6.97979361410394e-32
"Y522",1.77738596291662e-08,4.15991498018378e-08,0,0,0.721811307988786
"Y523",1.77738596291662e-08,2.49909407483408e-08,0,0,0.0861777997830148
"Y524",1.77738596291662e-08,9.74980110840862e-09,0,0,0.000431573009294748
"Y525",1.77738596291662e-08,7.23705382627134e-10,1,0,5.09912652738448e-15
"Y526",1.77738596291662e-08,5.48754907515075e-16,274,0,2.70911022967474e-28
"Y527",1.77738596291662e-08,1.58106642228991e-10,32,0,3.09089581060813e-27
"Y528",1.77738596291662e-08,2.00321930745526e-07,0,5,9.86382881071149e-13
"Y529",1.77738596291662e-08,2.82500950713152e-11,6,0,4.29557999139573e-29
"Y53",1.87050564256732e-08,1.64262272929825e-10,290,25,3.69719756705024e-18
"Y530",1.77738596291662e-08,9.09219446609444e-11,0,0,2.60949652427333e-24
"Y531",1.77738596291662e-08,2.35264784728822e-08,0,0,6.1373596098955e-15
"Y532",1.77738596291662e-08,1.43800315510869e-07,0,0,2.27900852703749e-10
"Y533",1.77738596291662e-08,2.23791199495739e-08,0,0,1.90725962138368e-16
"Y534",1.77746494394764e-08,1.0674742236423e-07,0,0,0.0941251014864278
"Y535",1.77738596291662e-08,2.15876851822631e-08,0,0,0.204081782055144
"Y536",1.77834115625608e-08,2.54602448062224e-24,324,0,1.17394995765681e-28
"Y537",1.80153822539837e-08,3.31235526152429e-13,59,0,3.10733916655887e-13
"Y538",1.77738596291662e-08,6.25959088292513e-08,0,0,0.497271205404113
"Y539",1.77738722655786e-08,1.19238276085189e-08,1,1,5.41860905851592e-05
"Y54",1.95920849544151e-08,5.40634001349616e-07,0,0,0.201233959251475
"Y540",1.77758564052099e-08,7.75202161284666e-11,3,0,3.01835020903951e-06
"Y541",1.77872896297256e-08,2.19447131309199e-18,21,0,1.25959724688433e-15
"Y542",1.77863658257036e-08,2.31558695135211e-11,533,66,3.36096272609085e-26
"Y543",1.77863658257036e-08,1.54293612847112e-08,7,7,8.99699760978919e-06
"Y544",1.77863658257036e-08,2.75431877666935e-09,191,163,6.38502224987869e-22
"Y545",1.77863658257036e-08,4.06827957972917e-14,703,50,1.59379589841145e-28
"Y546",1.77863658257036e-08,3.72008666705144e-08,51,70,3.62985945082659e-16
"Y547",1.77863658257036e-08,7.87715950395395e-08,4,7,4.2909891651477e-08
"Y548",1.77863658257036e-08,1.22687325035208e-07,101,202,0.518886807256493
"Y549",1.77863658257036e-08,2.79760673822811e-14,651,20,5.19542192024996e-15
"Y55",1.83884373505939e-08,7.87801867791193e-11,2,0,2.39954176803753e-23
"Y550",1.77863658257036e-08,3.49831994763746e-12,250,13,5.30746878339205e-11
"Y551",1.77863658257036e-08,2.8572223030917e-08,2,2,1.0952204130743e-05
"Y552",1.77863658257036e-08,7.08464216914505e-08,0,5,3.50711686204595e-05
"Y553",1.77863658257036e-08,1.67695484227759e-08,3,3,1.28168372491735e-05
"Y554",1.77866821861398e-08,3.66607618309442e-08,805,956,3.78025787440813e-06
"Y555",1.77863658257036e-08,5.61825450379192e-08,367,541,4.63485853350766e-10
"Y556",1.77877958644086e-08,1.73199600194217e-10,2293,522,6.49763897988578e-18
"Y557",1.77863658257036e-08,2.98256428197848e-23,345,0,1.50374058439774e-20
"Y558",1.77863658257036e-08,4.02150186988103e-23,361,0,1.48585168550971e-25
"Y559",1.77863658257036e-08,2.00820169410107e-09,26,6,2.98937491893411e-09
"Y56",1.87810991525592e-08,1.11372527126317e-10,4,0,1.16529430682522e-08
"Y560",1.77863658257036e-08,1.76529518966119e-13,206,2,1.14204112086568e-20
"Y561",1.77863658257036e-08,1.46206696344325e-21,327,0,6.00933430494942e-25
"Y562",1.77863658257036e-08,8.5319296303347e-11,90,5,8.86710267501124e-10
"Y563",1.77863658257036e-08,1.06520401080931e-08,17,14,1.7192671510591e-08
"Y564",1.77863658257036e-08,1.06419193552051e-19,290,1,3.30863359325552e-25
"Y565",1.77863658257036e-08,1.82209005644868e-07,17,96,1.26923454147612e-08
"Y566",1.77863658257036e-08,1.73444542096423e-07,6,41,9.54910563071444e-10
"Y567",1.77863658257036e-08,3.61255535397976e-14,4171,847,3.40165830801876e-26
"Y568",1.77863658257036e-08,4.30060189490127e-08,82,136,2.93218140463780e-09
"Y569",1.77872136970083e-08,1.15698698286626e-11,2756,410,7.1902457494284e-22
"Y57",1.83894044664921e-08,7.34712011138745e-07,0,0,3.34859612541433e-19
"Y570",1.77863658257036e-08,2.41120904368759e-12,1482,159,1.63965980301489e-20
"Y571",1.77863658257036e-08,3.12189919519604e-08,46,51,3.0264662709448e-12
"Y572",1.77866125858782e-08,8.61973861918304e-08,1097,1676,1.24401820091749e-15
"Y573",1.77863658257036e-08,1.27180547885833e-10,205,60,2.06311712272933e-15
"Y574",1.77863658257036e-08,1.72664149596801e-07,1,9,0.00603410762340911
"Y575",1.77863658257036e-08,1.67174585516661e-08,1,1,2.59069342089179e-08
"Y576",1.77863658257036e-08,2.37925514884332e-09,143,59,3.3172867713486e-35
"Y577",1.77863658257036e-08,2.74464085428139e-17,7703,694,9.66174143615361e-41
"Y578",1.77863658257036e-08,6.33468350031466e-08,4,10,3.02512071610588e-33
"Y579",1.77863658257036e-08,3.92694317671662e-08,10,32,1.91134801511287e-33
"Y58",1.86941675318951e-08,8.46995168167367e-10,12,0,1.06313727099449e-11
"Y580",1.77863658257036e-08,2.14016240912783e-08,9,15,2.76432309503284e-33
"Y581",1.77863658257036e-08,1.72897349833271e-07,1,4,1.66625784914492e-31
"Y582",1.77863658257036e-08,4.68111777431363e-14,1405,47,7.26384184723229e-39
"Y583",1.77863658257036e-08,2.26520314364198e-23,1122,2,4.86848904828805e-42
"Y584",1.77863658257036e-08,2.19821593495703e-09,138,73,1.53699679848784e-35
"Y585",1.77863658257036e-08,1.01008672937563e-07,7,16,1.3282653040035e-32
"Y586",1.77863658257036e-08,2.18937655428325e-08,135,151,1.14216103669917e-32
"Y587",1.77863658257036e-08,8.50565548233745e-11,404,116,4.5559213436983e-36
"Y588",1.77863658257036e-08,2.93786361106998e-11,36,0,6.70445970241289e-13
"Y589",1.77863658257036e-08,7.62782006119856e-09,4,2,5.51608706881748e-13
"Y59",1.83884373505939e-08,2.21668664499855e-07,0,0,3.19643534130406e-19
"Y590",1.77863658257036e-08,7.80792202574814e-14,175,21,4.33611786426315e-18
"Y591",1.77863658257036e-08,7.67476592717345e-15,150,3,1.06664272878702e-17
"Y592",1.77863658257036e-08,1.26137987813381e-15,1047,86,1.25686946544677e-26
